model,phase,epoch,train_loss,valid_loss,accuracy,f1_score,precision_score,recall_score,ckpt,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_roc_auc_macro,classification_report
resnet34,transfer,54,0.2781399190425873,0.173226997256279,0.963815212249756,0.9501069585581788,0.9514360175015484,0.9489485544563272,,,,,,,
resnet34,transfer,55,0.2725022137165069,0.1719110906124115,0.964166522026062,0.951277252144102,0.9664224692543396,0.9371052385267336,,,,,,,
resnet34,transfer,56,0.2510731220245361,0.1569852977991104,0.9668013453483582,0.9541370027969012,0.9558308712892044,0.9525089832203828,,,,,,,
resnet34,transfer,57,0.2515625953674316,0.1571835875511169,0.9646934866905212,0.9510224257661152,0.9543441083231397,0.9478344261657412,,,,,,,
resnet34,transfer,58,0.248459592461586,0.1558427214622497,0.9671526551246644,0.9533552102084124,0.9623868548372256,0.9451331839199106,,,,,,,
resnet34,transfer,59,0.2057435363531112,0.1536880135536193,0.9669770002365112,0.9550476444773904,0.9656317397052556,0.9450946644226011,,,,,,,
resnet34,transfer,60,0.2054521888494491,0.1510518044233322,0.969084858894348,0.956795047806617,0.9632967352752602,0.9507706941355284,,,,,,,
resnet34,transfer,61,0.2067701667547226,0.1458789855241775,0.9692605137825012,0.9573479239380112,0.9610933054221908,0.9537397965384324,,,,,,,
resnet34,transfer,62,0.2088371813297271,0.1438604444265365,0.9694361686706544,0.9574508197283546,0.9602740853383732,0.9547641883683388,,,,,,,
resnet34,transfer,63,0.1920783370733261,0.147935688495636,0.9704900979995728,0.958148101806162,0.9657447170861652,0.9510437767760612,,,,,,,
resnet34,transfer,64,0.1964898854494094,0.1449169814586639,0.9720709919929504,0.9614266714250418,0.9693071141370831,0.9539739303278096,,,,,,,
resnet34,transfer,65,0.2091654390096664,0.1392091661691665,0.9708414077758788,0.9583974557850916,0.9647321468990064,0.9523572381633296,,,,,,,
resnet34,transfer,66,0.1824085861444473,0.1394427269697189,0.9724223017692566,0.9604447460690484,0.9654919712233354,0.9558324215847072,,,,,,,
resnet34,transfer,67,0.1922511607408523,0.1386609971523285,0.971017062664032,0.958884957408722,0.9644167829648992,0.9536556796230562,,,,,,,
resnet34,transfer,68,0.1622702479362487,0.1379517614841461,0.9720709919929504,0.9599119789118123,0.9654371675649052,0.9547408319128536,,,,,,,
resnet34,transfer,69,0.1832541823387146,0.1377810984849929,0.9722466468811036,0.9598163506925608,0.963692245371299,0.956214297938644,,,,,,,
resnet34,transfer,70,0.1757080852985382,0.1373781412839889,0.9720709919929504,0.9601057034223835,0.96548232673454,0.9551157699737466,,,,,,,
resnet34,transfer,71,0.1929968446493148,0.143604040145874,0.9711927175521852,0.960148577499887,0.96863415340161,0.952279347445154,,,,,,,
resnet34,transfer,72,0.1831818670034408,0.1363561451435089,0.9718953371047974,0.9593462239104412,0.9626476915095123,0.9563087489876604,,,,,,,
resnet34,transfer,73,0.1697611510753631,0.1381019055843353,0.9717196822166444,0.959238601899281,0.963262363945992,0.9555545458145608,,,,,,,
resnet34,transfer,74,0.1926794797182083,0.1370419412851333,0.972773551940918,0.9608437771220516,0.9648220851846964,0.9571855806434276,,,,,,,
resnet34,transfer,best_on_test,,,,,,,resnet34_transfer,0.9692307692307692,0.9622248556412712,0.9460942220734964,0.9538271356136496,0.9925338622151976,"                    precision    recall  f1-score   support

       Atelectasis       0.94      0.86      0.90       281
          Fibrosis       0.97      0.96      0.96       196
            Normal       0.97      0.99      0.98      2170
Pleural_Thickening       0.96      0.97      0.96       302
         Pneumonia       0.97      0.95      0.96       496

          accuracy                           0.97      3445
         macro avg       0.96      0.95      0.95      3445
      weighted avg       0.97      0.97      0.97      3445
"
resnet34,finetune,0,0.21114762127399445,0.1399230808019638,0.9725979566574097,0.9606441049705952,0.9651709533039015,0.9566155579958895,,,,,,,
resnet34,finetune,1,0.22868578135967255,0.13712310791015625,0.9711927175521851,0.9592700973057313,0.9638950221269603,0.9549565211396569,,,,,,,
resnet34,finetune,2,0.18879370391368866,0.1442420780658722,0.9694361686706543,0.9567514087709948,0.9637589207339803,0.9503359983826017,,,,,,,
resnet34,finetune,3,0.2170354574918747,0.13863615691661835,0.968733549118042,0.9560603139428803,0.9616189751957951,0.950695053375809,,,,,,,
resnet34,finetune,4,0.2422972321510315,0.15571163594722748,0.9648691415786743,0.9505977286284335,0.9548072880062266,0.9469086109961038,,,,,,,
resnet34,finetune,5,0.31021276116371155,0.17615613341331482,0.9536272883415222,0.9322535029198677,0.9253603917579932,0.9405588155739671,,,,,,,
resnet34,finetune,6,0.3319495618343353,0.19511818885803223,0.9451958537101746,0.9242522395611308,0.9227550323888947,0.92635597983551,,,,,,,
resnet34,finetune,7,0.369253545999527,0.19430632889270782,0.9478306770324707,0.9206169568928848,0.9169475550589355,0.9251420016602797,,,,,,,
resnet34,finetune,8,0.3738230764865875,0.2149813175201416,0.9390479326248169,0.9116723529290869,0.9218415214496203,0.9021397532878268,,,,,,,
resnet34,finetune,9,0.3640110492706299,0.2320105880498886,0.9274547696113586,0.8890759952263536,0.9051960325635416,0.8824290949734998,,,,,,,
resnet34,finetune,10,0.38407015800476074,0.2708989977836609,0.9132267832756042,0.8611539291559334,0.8762167842646201,0.8628017556673294,,,,,,,
resnet34,finetune,11,0.3620927333831787,0.23014602065086365,0.9336026906967163,0.9067403500741307,0.9146639206721587,0.9022671917060272,,,,,,,
resnet34,finetune,12,0.3333370089530945,0.21025310456752777,0.9390479326248169,0.9091656726079014,0.918627177531375,0.9012815855294803,,,,,,,
